Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ($),Box Office Revenue ($),weight,,,,,,,
Brick Mansions,2014-04-23,https://en.wikipedia.org/wiki/Brick_Mansions,Action,,Camille Delamarre,,Paul Walker,David Belle,RZA,,,"23,000,000.00","69,000,000.00",0.3,,,,,,,
Bridge of Spies,2015-10-04,https://en.wikipedia.org/wiki/Bridge_of_Spies_(film),Drama,,Steven Spielberg,,Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Austin Stowell,"40,000,000.00","165,500,000.00",0.41375,,,,,,,
Brooklyn,2015-01-26,https://en.wikipedia.org/wiki/Brooklyn_(film),Drama,Romance,John Crowley,,Saoirse Ronan,Emory Cohen,Domhnall Gleeson,Jim Broadbent,Julie Walters,"11,000,000.00","62,100,000.00",0.564545455,,,,,,,
Bullet to the Head,2013-02-01,https://en.wikipedia.org/wiki/Bullet_to_the_Head,Crime,Action,Walter Hill,,Sylvester Stallone,Sung Kang,Sarah Shahi,Adewale Akinnuoye-Agbaje,Religious Slater,"55,000,000.00","21,900,000.00",0.039818182,,,,,,,
Burnt,2015-10-06,https://en.wikipedia.org/wiki/Burnt_(film),Comedy,Drama,John Wells,,Bradley Cooper,Jamie Dornan,Emma Thompson,Sienna Miller,Daniel Brühl,"20,000,000.00","36,600,000.00",0.183,,,,,,,
By the Sea,2015-11-05,https://en.wikipedia.org/wiki/By_the_Sea_(2015_film),Drama,,Angelina Jolie,,Angelina Jolie,Brad Pitt,Mélanie Laurent,Niels Arestrup,Melvil Poupaud,"10,000,000.00","3,300,000.00",0.033,,,,,,,
Captain America: The Winter Soldier,2014-03-13,https://en.wikipedia.org/wiki/Captain_America:_The_Winter_Soldier,Action,,Anthony Russo,Joe Russo,Chris Evans,Scarlett Johansson,Sebastian Stan,Anthony Mackie,Cobie Smulders,"170,000,000.00","714,400,000.00",0.420235294,,,,,,,
Captive,2015-09-18,https://en.wikipedia.org/wiki/Captive_(2015_film),Crime,Thriller,Jerry Jameson,,David Oyelowo,Kate Mara,Michael K. Williams,Leonor Varela,Jessica Oyelowo,"2,000,000.00","2,800,000.00",0.14,,,,,,,
Carol,2015-05-17,https://en.wikipedia.org/wiki/Carol_(film),Drama,,Todd Haynes,,Cate Blanchett,Rooney Mara,Sarah Paulson,Kyle Chandler,Jake Lacy,"11,800,000.00","40,300,000.00",0.341525424,,,,,,,
Central Intelligence,2016-06-10,https://en.wikipedia.org/wiki/Central_Intelligence,Action,Comedy,Rawson Marshall Thurber,,Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,,"50,000,000.00","212,200,000.00",0.4244,,,,,,,
Cesar Chavez,2014-02-12,https://en.wikipedia.org/wiki/Cesar_Chavez_(film),Drama,,Diego Luna,,Michael Peña,America Ferrera,Rosario Dawson,John Malkovich,,"10,000,000.00","6,700,000.00",0.067,,,,,,,
Chappie,2015-03-04,https://en.wikipedia.org/wiki/Chappie_(film),Sci-Fi,,Neill Blomkamp,,Sharlto Copley,Ninja,Yolandi Visser,Dev Patel,Hugh Jackman,"49,000,000.00","102,100,000.00",0.208367347,,,,,,,
Chasing Mavericks,2012-10-26,https://en.wikipedia.org/wiki/Chasing_Mavericks,Biography,Drama,Curtis Hanson,Michael Apted,Gerard Butler,Jonny Weston,Elisabeth Shue,Abigail Spencer,,"20,000,000.00","8,300,000.00",0.0415,,,,,,,
Chef,2014-03-07,https://en.wikipedia.org/wiki/Chef_(film),Comedy,,Jon Favreau,,Jon Favreau,Sofía Vergara,Scarlett Johansson,John Leguizamo,Robert Downey,"11,000,000.00","46,000,000.00",0.418181818,,,,,,,
Chernobyl Diaries,2012-05-25,https://en.wikipedia.org/wiki/Chernobyl_Diaries,Horror,Thriller,Bradley Parker,,Jonathan Sadowski,Devin Kelley,Jesse McCartney,Olivia Taylor Dudley,Nathan Phillips,"1,000,000.00","37,200,000.00",3.72,,,,,,,
Child 44,2015-04-17,https://en.wikipedia.org/wiki/Child_44_(film),Drama,,Daniel Espinosa,,Tom Hardy,Gary Oldman,Joel Kinnaman,Noomi Rapace,Jason Clarke,"50,000,000.00","13,000,000.00",0.026,,,,,,,
Chronicle,2012-02-03,https://en.wikipedia.org/wiki/Chronicle_(film),Sci-Fi,Drama,Josh Trank,,Dane DeHaan,Michael B. Jordan,Alex Russell,Michael Kelly,,"12,000,000.00","126,600,000.00",1.055,,,,,,,
Cloud Atlas,2012-10-26,https://en.wikipedia.org/wiki/Cloud_Atlas_(film),Drama,Sci-Fi,Tom Tykwer,Andy Wachowski,Tom Hanks,Jim Sturgess,David Gyasi,Jim Broadbent,Ben Whishaw,"128,500,000.00","130,500,000.00",0.10155642,,,,,,,
Cloudy with a Chance of Meatballs 2,2013-09-27,https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2,Family,Comedy,Cody Cameron,Kris Pearn,Anna Faris,Bill Hader,Andy Samberg,Kristen Schaal,James Caan,"78,000,000.00","274,300,000.00",0.351666667,,,,,,,
Concussion,2015-12-25,https://en.wikipedia.org/wiki/Concussion_(2015_film),Drama,Sports,Peter Landesman,,Will Smith,Alec Baldwin,Gugu Mbatha-Raw,Albert Brooks,Paul Reiser,"57,000,000.00","50,300,000.00",0.088245614,,,,,,,
Creed,2015-11-25,https://en.wikipedia.org/wiki/Creed_(film),Drama,,Ryan Coogler,,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Graham McTavish,Tony Bellew,"40,000,000.00","173,600,000.00",0.434,,,,,,,
Criminal,2016-04-15,https://en.wikipedia.org/wiki/Criminal_(2016_film),Action,Thriller,Ariel Vromen,,Kevin Costner,Gary Oldman,Tommy Lee Jones,Alice Eve,Gal Gadot,"31,500,000.00","35,600,000.00",0.113015873,,,,,,,
Crimson Peak,2015-10-16,https://en.wikipedia.org/wiki/Crimson_Peak,Horror,Romance,Guillermo del Toro,,Mia Wasikowska,Tom Hiddleston,Charlie Hunnam,Jessica Chastain,Jim Beaver,"55,000,000.00","74,700,000.00",0.135818182,,,,,,,
Daddy's Home,2015-12-25,https://en.wikipedia.org/wiki/Daddy%2527s_Home_(film),Comedy,,Sean Anders,John Morris,Will Ferrell,Mark Wahlberg,Linda Cardellini,,,"69,000,000.00","240,400,000.00",0.348405797,,,,,,,
Danny Collins,2015-03-20,https://en.wikipedia.org/wiki/Danny_Collins_(film),Comedy,Drama,Dan Fogelman,,Al Pacino,Annette Bening,Jennifer Garner,Bobby Cannavale,Christopher Plummer,"10,000,000.00","8,200,000.00",0.082,,,,,,,
Dark Shadows,2012-05-11,https://en.wikipedia.org/wiki/Dark_Shadows_(film),Comedy,Horror,Tim Burton,,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Eva Green,Jackie Earle Haley,"150,000,000.00","245,500,000.00",0.163666667,,,,,,,
Dark Skies,2013-02-22,https://en.wikipedia.org/wiki/Dark_Skies_(film),Horror,Sci-Fi,Scott Charles Stewart,,Keri Russell,Josh Hamilton,Dakota Goyo,,,"3,500,000.00","26,400,000.00",0.754285714,,,,,,,
Dawn of the Planet of the Apes,2014-06-26,https://en.wikipedia.org/wiki/Dawn_of_the_Planet_of_the_Apes,Action,Adventure,Matt Reeves,,Andy Serkis,Gary Oldman,Jason Clarke,Kodi Smit-McPhee,Keri Russell,"235,000,000.00","710,600,000.00",0.302382979,,,,,,,
Dead Man Down,2013-03-08,https://en.wikipedia.org/wiki/Dead_Man_Down,Action,,Niels Arden Oplev,,Colin Farrell,Noomi Rapace,Dominic Cooper,Terrence Howard,Wade Barrett,"30,000,000.00","18,100,000.00",0.060333333,,,,,,,
Deadpool,2016-02-08,https://en.wikipedia.org/wiki/Deadpool_(film),Action,,Tim Miller,,Ryan Reynolds,Gina Carano,T. J. Miller,Ed Skrein,Morena Baccarin,"58,000,000.00","782,600,000.00",1.349310345,,,,,,,
Declaration of War,2012-01-27,https://en.wikipedia.org/wiki/Declaration_of_War_(film),Romance,Drama,Valérie Donzelli,,Valérie Donzelli (director),,,,,"1,500,000.00","6,500,000.00",0.433333333,,,,,,,
Deliver Us from Evil,2014-07-02,https://en.wikipedia.org/wiki/Deliver_Us_from_Evil_(2014_film),Horror,Thriller,Scott Derrickson,Paul Harris,Eric Bana,Édgar Ramírez,Olivia Munn,Joel McHale,,"30,000,000.00","87,900,000.00",0.293,,,,,,,
Despicable Me 2,2013-06-20,https://en.wikipedia.org/wiki/Despicable_Me_2,Comedy,Family,Chris Renaud,Pierre Coffin,Steve Carell,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,"76,000,000.00","970,800,000.00",1.277368421,,,,,,,
Devil's Due,2014-01-17,https://en.wikipedia.org/wiki/Devil%2527s_Due_(film),Horror,Thriller,Matt Bettinelli-Olpin,Tyler Gillett,Allison Miller,Zach Gilford,Sam Anderson,Aimee Carrero,Vanessa Ray,"7,000,000.00","36,900,000.00",0.527142857,,,,,,,
Diary of a Wimpy Kid: Dog Days,2012-08-03,https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_Dog_Days_(film),Comedy,Family,David Bowers,,Zachary Gordon,Robert Capron,Rachael Harris,Devon Bostick,Steve Zahn,"22,000,000.00","77,100,000.00",0.350454545,,,,,,,
Divergent,2014-03-18,https://en.wikipedia.org/wiki/Divergent_(film),Sci-Fi,Action,Neil Burger,,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,Zoë Kravitz,"85,000,000.00","288,900,000.00",0.339882353,,,,,,,
Django Unchained,2012-12-25,https://en.wikipedia.org/wiki/Django_Unchained,Action,Drama,Quentin Tarantino,,Christoph Waltz,Jamie Foxx,Leonardo DiCaprio,Samuel L. Jackson,Bruce Dern,"100,000,000.00","425,400,000.00",0.4254,,,,,,,
Dolphin Tale 2,2014-09-12,https://en.wikipedia.org/wiki/Dolphin_Tale_2,Family,,Charles Martin Smith,,Winter,Hope,Nathan Gamble,Harry Connick,Jr.,"36,000,000.00","57,800,000.00",0.160555556,,,,,,,
